"FALSE","obs","pred"
"327",0,0.558773395721925
"328",0,0.68458110516934
"329",0,0.162003968253968
"330",0,0.2937265917603
"331",0,0.551421800947867
"332",0,0.108542713567839
"333",0,0.364633346451528
"334",0,0.554529684964468
"335",0,0.24025641025641
"336",0,0.521482075976458
"337",0,0.700026581605529
"338",0,0.129965457685665
"339",0,0.0750849552054371
"340",0,0.0685792349726776
"341",0,0.162944162436548
"342",0,0.147069597069597
"343",0,0.41986790986791
"344",0,0.161199294532628
"345",0,0.286416666666667
"346",0,0.173711340206186
"347",0,0.121414728682171
"348",0,0.0858414239482201
"349",0,0.050194931773879
"350",0,0.386038394415358
"351",1,0.884153005464481
"352",1,0.958380414312618
"353",1,0.619267846754758
"354",1,0.950833333333333
"355",1,0.223543083900227
"356",1,0.877686703096539
"357",1,0.893955094991364
"358",1,0.545161476355248
"359",1,0.669389438943894
"360",1,0.933823529411765
"361",1,0.698953141576093
"362",1,0.648901098901099
"363",1,0.80901268115942
"364",1,0.981569664902998
"365",1,0.979639546035806
"366",1,0.820409641610115
"367",1,0.235939241917503
"368",1,0.713126402393418
"369",1,0.895185185185185
"370",1,0.875438596491228
"371",1,0.75891156462585
"372",1,0.746297619047619
"373",1,0.806224747474747
"374",1,0.804324324324324
"375",1,0.875936329588015
"376",1,0.482485875706215
"377",1,0.259124767225326
"378",1,0.952325581395349
"379",1,0.940319865319865
"380",1,0.838920454545454
"381",1,0.992977528089888
"382",1,0.912318269399194
"383",1,0.567246563573883
"384",1,0.166400709219858
"385",1,0.923888888888889
"386",1,0.94781746031746
"387",1,0.576491228070175
"388",1,0.71772030651341
"389",1,0.927467411545624
"390",1,0.399146250287555
"391",1,0.303145526042585
"392",1,0.902678852820675
"393",1,0.8975
"394",1,0.779211229946524
"395",1,0.960141093474427
"396",1,0.387821914480078
"397",1,0.538304093567252
"398",1,0.297904170363798
"399",1,0.597172056440724
"400",1,0.674822695035461
"401",1,0.827139438575609
"402",1,0.830402010050251
"403",1,0.457333333333333
"404",1,0.288095238095238
"405",1,0.760530679933665
"406",1,0.863636363636364
"407",1,0.794534050179212
"408",1,0.714385964912281
"409",1,0.436648498306529
"410",1,0.978378378378378
"411",1,0.300580793490298
"412",1,0.222407407407407
"413",1,0.894194756554307
"414",1,0.626268115942029
"415",1,0.787269681742044
"416",1,0.877346278317152
"417",1,0.850641025641026
"418",1,0.924331550802139
"419",1,0.983801498127341
"420",1,0.945876288659794
"421",1,0.694984051036683
"422",1,0.36181684981685
"423",1,0.104705882352941
"424",1,0.643750479257726
"425",1,0.906052141527002
"426",1,0.889571150097466
"427",1,0.660087719298246
"428",1,0.776047358834244
"429",1,0.879681647940075
"430",1,0.582230793205548
"431",1,0.570893812070283
"432",1,0.855102040816327
"433",1,0.59677109831749
"434",1,0.051183970856102
"435",1,0.179474548440066
"436",1,0.744288389513109
"437",1,0.862254901960784
"438",1,0.720949720670391
"439",1,0.270238095238095
"440",1,0.863693693693694
"441",1,0.828768999646518
"442",1,0.838535645472062
"443",1,0.828571428571429
"444",1,0.81037037037037
"445",1,0.80133517495396
"446",1,0.971544373450965
"447",1,0.962828094200643
"448",1,0.481826241134752
"449",1,0.0629001883239172
"450",1,0.890575916230367
"451",1,0.880279232111693
"452",1,0.885626102292769
"453",1,0.767621527777778
"454",1,0.428673835125448
"455",1,0.968942930707637
"456",1,0.690269749518305
"457",1,0.888944723618091
"458",1,0.816770833333333
"459",1,0.948386820710312
"460",1,0.946220930232558
"461",1,0.374158249158249
"462",1,0.669556840077071
"463",1,0.629094951233505
"464",1,0.990058479532164
"465",1,0.986158192090395
"466",1,0.987105263157895
"467",1,0.990331491712707
"468",1,0.149785736149372
"469",1,0.89320987654321
"470",1,0.920565302144249
"471",1,0.934496124031008
"472",1,0.67565543071161
"473",1,0.572912958445953
"474",1,0.93927304964539
"475",1,0.479931972789116
"476",1,0.505860805860806
"477",1,0.287737478411053
"478",1,0.96040404040404
"479",1,0.956969696969697
"480",1,0.946724470134875
"481",1,0.928405017921147
"482",1,0.554674492174492
"483",1,0.414504504504504
"484",1,0.877011494252874
"485",1,0.46031746031746
"486",1,0.273399014778325
"487",1,0.765864527629234
"488",1,0.678000485908649
"489",1,0.357387387387387
"490",1,0.670670426065163
"491",1,0.868361581920904
"492",1,0.976648841354724
"493",1,0.973847517730496
"494",1,0.877982954545454
"495",1,0.894537037037037
"496",1,0.786854194173644
"497",1,0.772957393483709
"498",1,0.759322033898305
"499",1,0.614100002561541
"500",1,0.767088293650793
"501",1,0.19503745318352
"502",1,0.609798994974874
"503",1,0.404609929078014
"504",1,0.897802197802198
"505",1,0.995073891625616
"506",1,0.986247723132969
"507",1,0.985658914728682
"508",1,0.129131109983548
"509",1,0.705029585798817
"510",1,0.924063670411985
"511",1,0.928849902534113
"512",1,0.783057090239411
"513",1,0.581216931216931
"514",1,0.490654744560995
"515",1,0.195878136200717
"516",1,0.899382716049383
"517",1,0.895623836126629
"518",1,0.294774774774775
"519",1,0.584567901234568
"520",1,0.533689839572193
"521",1,0.553333333333333
"522",1,0.327647058823529
"523",1,0.623394660894661
"524",1,0.352209944751381
"525",1,0.775535714285714
"526",1,0.765175438596491
"527",1,0.905587121212121
